timestamp,tire_F(t),suspension_travel(t),seat_a(t)
4.13,-4336.676226722608,0.8187409108762109,0.09666606428308834
4.14,-4289.203321853291,0.8187892994814006,0.06787661141634847
4.15,-4232.627603235804,0.8188832350395944,0.027411811385127292
4.16,-4210.651475626132,0.8190235467820978,-0.028981897505112406
4.17,-4207.927242827216,0.8191781952225414,-0.09623264733654271
4.18,-4201.314801040071,0.8193395015373621,-0.16794009527777878
4.19,-4302.823690690177,0.8194800667515058,-0.21954201610141316
4.2,-4333.736630219758,0.8195384700519479,-0.23356402671842033
4.21,-4332.543796384637,0.8195736616076476,-0.2474070171518065
4.22,-4363.692092715883,0.8195958720541201,-0.2477971132941415
4.23,-4364.7831741002865,0.819598994676137,-0.24144119277535955
4.24,-4389.7959341915575,0.8195927717735207,-0.22826389155694451
4.25,-4406.906010985923,0.8195665116704689,-0.20618191459414373
4.26,-4392.867201312861,0.8195273728287028,-0.18173718695833257
4.27,-4332.912411035257,0.8195127358461852,-0.17050907134156243
4.28,-4325.318298917654,0.819539903528293,-0.1650574445803765
4.29,-4295.92570013715,0.819581531064303,-0.1604458143279544
4.3,-4295.965578634699,0.8196440047486928,-0.161105222197934
4.31,-4290.747897498256,0.8197065258756862,-0.15949884513492332
4.32,-4313.573352162257,0.8197696057497299,-0.1584503537774689
4.33,-4346.851290722061,0.8198052676858072,-0.14602943237933347
4.34,-4352.399459399249,0.8198187342514515,-0.13211291806132028
4.35,-4414.036739032601,0.8198114970019825,-0.11010082819182117
4.36,-4430.648719911414,0.8197560654169034,-0.07788514525336154
4.37,-4389.286709789428,0.8196965473995645,-0.04884424452923402
4.38,-4394.459378661483,0.8196657147518207,-0.02418409041622264
4.39,-4441.089424786859,0.819622641979163,0.005568563485638833
4.4,-4448.227014056294,0.8195461695117761,0.04456979025499853
4.41,-4390.672320090173,0.8194737571898743,0.08045289311473311
4.42,-4334.292799446338,0.8194567039016312,0.09403639405506208
4.43,-4344.966457694095,0.8194768184394408,0.09694915894410201
4.44,-4333.81138567004,0.8194970557357744,0.09688279806000348
4.45,-4355.745079099217,0.8195185270025455,0.09453518858824168
4.46,-4335.185317879594,0.8195292136696607,0.09167197330050006
4.47,-4372.268687060877,0.8195485612355423,0.08469111586003729
4.48,-4417.781177948807,0.8195281168494837,0.09068010643462684
4.49,-4401.031742357104,0.8194831516122472,0.09789288020101973
